team_name,league_value,team_value,goals,xgShot,xgShotAgainst,concededGoals,diff_goals,score_full_normal,score_normal_historical,score_normal_current
Nagoya Grampus Eight,254.5,14.2,1.12,1.14,1.15,0.91,0.21000000000000008,74.18546365914787,71.42857142857143,52.130325814536334
Lecce,4580.0,81.53,1.01,1.03,1.4,1.13,-0.11999999999999988,73.93483709273183,26.065162907268167,57.64411027568922
Young Boys,280.76,56.45,2.13,1.99,1.21,0.78,1.3499999999999999,73.68421052631578,63.40852130325815,89.47368421052632
Argentinos Juniors,797.41,42.75,1.14,1.38,1.07,0.91,0.22999999999999987,73.43358395989975,49.122807017543856,66.41604010025063
Santos Laguna,824.85,59.3,1.45,1.26,1.67,1.89,-0.43999999999999995,73.1829573934837,79.4486215538847,17.543859649122805
Monterrey,824.85,83.3,1.41,1.34,0.93,0.97,0.43999999999999995,72.93233082706767,71.67919799498746,77.19298245614034
Pumas Unam,824.85,34.8,1.61,1.53,1.25,1.1,0.51,72.68170426065163,84.46115288220551,73.93483709273183
Antwerp,832.45,98.2,1.58,1.68,0.98,0.66,0.92,72.4310776942356,58.39598997493734,86.46616541353383
Ascoli,475.12,16.0,1.08,1.09,1.3,1.08,0.0,72.18045112781954,61.152882205513784,34.08521303258145
Lazio,4580.0,280.28,1.21,1.28,1.35,1.21,0.0,71.9298245614035,61.40350877192983,81.70426065162907
Club Brugge,832.45,121.75,1.89,1.88,0.88,0.99,0.8999999999999999,71.67919799498746,77.94486215538848,88.97243107769424
Querétaro,824.85,20.9,0.95,0.91,1.38,1.62,-0.6700000000000002,71.42857142857143,69.42355889724311,9.774436090225564
Seattle Sounders FC,1270.0,49.15,1.09,1.37,0.92,0.85,0.2400000000000001,71.17794486215539,45.614035087719294,70.67669172932331
Real Valladolid,4660.0,33.5,1.13,1.08,0.83,0.81,0.31999999999999984,70.92731829573935,49.87468671679198,79.19799498746866
Sandefjord,213.21,6.5,1.4,1.11,2.0,1.85,-0.4500000000000002,70.67669172932331,61.904761904761905,8.270676691729323
Ajax,967.18,181.65,1.73,1.48,1.78,1.98,-0.25,70.42606516290726,15.288220551378446,45.614035087719294
Accrington Stanley,224.44,2.95,1.26,1.38,1.23,1.13,0.13000000000000012,70.17543859649122,83.70927318295739,49.87468671679198
Elche,4660.0,35.3,0.68,1.22,0.95,0.98,-0.29999999999999993,69.92481203007519,90.22556390977444,58.89724310776943
Banfield,797.41,26.1,0.68,0.99,1.04,0.94,-0.2599999999999999,69.67418546365914,50.877192982456144,29.82456140350877
Go Ahead Eagles,967.18,14.48,1.74,1.6,1.95,1.54,0.19999999999999996,69.42355889724311,75.43859649122807,42.10526315789473
Estudiantes,797.41,43.58,1.02,1.15,0.79,0.87,0.15000000000000002,69.17293233082707,20.050125313283207,65.16290726817043
Forest Green Rovers,224.44,7.13,1.09,1.49,1.34,1.64,-0.5499999999999998,68.92230576441104,75.93984962406014,16.791979949874687
Stevenage,101.25,5.9,1.1,1.39,0.95,0.91,0.19000000000000006,68.67167919799499,58.64661654135338,58.64661654135338
Villarreal,4660.0,186.2,1.07,1.17,1.57,1.42,-0.34999999999999987,68.42105263157895,77.44360902255639,58.39598997493734
SC Freiburg,3970.0,164.83,1.01,1.84,1.37,1.57,-0.56,68.1704260651629,57.89473684210527,62.40601503759399
Mirandes,476.9,11.6,1.34,1.0,1.09,1.49,-0.1499999999999999,67.91979949874687,28.32080200501253,31.07769423558897
FC Augsburg,3970.0,121.45,1.92,1.2,1.53,2.18,-0.26000000000000023,67.66917293233082,49.62406015037594,53.88471177944862
OFI Crete,414.35,11.45,1.11,1.38,0.97,1.0,0.1100000000000001,67.41854636591479,62.65664160401002,57.14285714285714
Lanus,797.41,31.98,1.06,1.23,0.91,0.93,0.13,67.16791979949875,74.18546365914787,60.6516290726817
Istanbul Basaksehir,1190.0,60.2,0.51,0.88,1.32,1.11,-0.6000000000000001,66.9172932330827,4.761904761904762,15.538847117794486
Atlanta United FC,1270.0,65.25,1.75,1.42,1.28,1.41,0.3400000000000001,66.66666666666666,65.41353383458647,69.42355889724311
Alanyaspor,1190.0,28.65,0.89,0.93,1.14,1.11,-0.22000000000000008,66.41604010025063,31.82957393483709,30.32581453634085
DC United,1270.0,29.05,1.19,1.48,1.11,1.3,-0.1100000000000001,66.16541353383458,54.88721804511278,52.88220551378446
Club América,824.85,87.9,2.06,1.87,0.69,0.96,1.1,65.91478696741855,66.41604010025063,90.97744360902256
Atletico Mineiro,1440.0,83.4,1.04,1.15,0.96,0.68,0.36,65.6641604010025,87.96992481203007,75.6892230576441
Aberdeen,372.89,15.63,1.1,1.44,1.39,1.1,0.0,65.41353383458647,5.263157894736842,41.35338345864661
Platense,797.41,12.58,0.91,0.91,1.05,1.04,-0.13,65.16290726817043,21.553884711779446,32.08020050125313
Annecy,339.0,9.7,1.07,1.23,1.05,1.23,-0.15999999999999992,64.91228070175438,26.81704260651629,35.58897243107769
São Paulo,1440.0,160.3,1.06,1.34,0.96,0.91,0.15000000000000002,64.66165413533834,9.273182957393484,76.94235588972431
IFK Norrkoping,229.08,14.68,1.38,1.21,1.13,1.31,0.06999999999999984,64.41102756892231,1.0025062656641603,47.61904761904761
Peterborough United,224.44,14.43,1.38,1.62,1.07,0.96,0.41999999999999993,64.16040100250626,27.56892230576441,71.17794486215539
Fluminense,1440.0,77.3,1.19,1.38,1.15,1.1,0.08999999999999986,63.90977443609023,25.563909774436087,64.91228070175438
Exeter City,224.44,6.78,0.75,1.33,1.36,1.1,-0.3500000000000001,63.65914786967418,37.34335839598997,20.551378446115287
Real Salt Lake,1270.0,38.73,1.29,1.17,1.31,1.34,-0.050000000000000044,63.40852130325815,51.37844611528822,43.859649122807014
Sarpsborg,213.21,9.88,1.77,1.77,1.54,1.52,0.25,63.1578947368421,29.82456140350877,56.14035087719298
